Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CityLearningBrain,2.507,34.848,28.132,81,-29.404
CityLearningBrain,1.873,67.553,27.518,81,-28.490
CityLearningBrain,1.824,100.131,27.313,81,-27.990
CityLearningBrain,1.773,132.107,26.842,81,-26.529
CityLearningBrain,1.715,167.614,30.485,81,-24.732
CityLearningBrain,1.729,199.967,27.231,81,-23.128
CityLearningBrain,1.714,232.013,26.950,81,-21.389
CityLearningBrain,1.880,265.060,27.827,81,-19.824
CityLearningBrain,1.718,298.103,27.858,81,-18.227
CityLearningBrain,1.704,330.793,27.606,81,-16.916
CityLearningBrain,1.790,373.417,37.545,81,-15.614
CityLearningBrain,1.876,406.275,27.586,81,-14.160
CityLearningBrain,1.803,439.617,28.059,81,-12.752
CityLearningBrain,1.818,473.250,28.300,81,-11.413
CityLearningBrain,1.777,506.182,27.599,81,-9.916
CityLearningBrain,1.697,539.180,27.864,81,-8.460
CityLearningBrain,1.783,573.246,28.878,81,-7.102
CityLearningBrain,1.724,605.691,27.213,81,-5.815
CityLearningBrain,1.887,638.999,28.070,81,-4.596
CityLearningBrain,1.898,672.545,28.493,81,-3.425
CityLearningBrain,1.707,705.108,27.549,81,-2.339
CityLearningBrain,1.723,738.130,27.824,81,-1.273
CityLearningBrain,1.826,778.637,35.318,81,-0.273
CityLearningBrain,1.797,812.352,28.519,81,0.638
CityLearningBrain,1.825,846.233,28.376,81,1.546
CityLearningBrain,1.759,879.234,27.737,81,2.339
CityLearningBrain,1.729,912.602,28.232,81,3.074
